ticker,price,rsi,stoch_k,bb_pct,dist_ema9,dist_ema20,dist_sma50,atr,atr_pct,rel_vol,ret_3d,ret_5d,call_vol,put_vol,call_oi,put_oi,pcr_vol,pcr_oi,call_wall,put_wall,gamma_bias,max_pain,oversold_score,reversal_score,options_score,hist_score,composite_score,hist_win1,hist_win3,hist_win5,hist_avg1,hist_avg3,hist_avg5,hist_samples,reason,timing,stage2_adj
APA,33.03,34.3,0.0,-0.081,-6.33,-9.24,-12.35,1.56,4.72,2.29,-5.0,-10.2,3727,878,11907,2918,0.24,0.25,46.0,30.0,0.6077,36.5,99.5,40.0,80.0,34.1,70.23,33.3,53.3,64.0,-1.67,-0.88,-0.01,75,oversold (RSI <40); hammer/rejection candle; capitulation volume spike; bullish call-heavy options (PCR vol 0.24); positive gamma bias (0.6077); put wall support near $30; call wall target at $46; historical 3d win rate 63.6% (avg +0.3% over 33 samples),Same-day / intraday,1.103
KR,56.61,26.9,40.3,-0.23,-8.84,-10.59,-13.65,1.98,3.49,2.98,-11.63,-11.71,18555,6989,4369,4290,0.38,0.98,78.0,56.0,0.4832,64.0,100.0,20.0,80.0,30.3,69.2,22.6,48.4,54.8,-0.75,-0.19,0.48,62,deeply oversold (RSI <30); capitulation volume spike; bullish call-heavy options (PCR vol 0.38); positive gamma bias (0.4832); put wall support near $56; call wall target at $78; historical 3d win rate 48.7% (avg +-0.21% over 39 samples); near 52-week low support,Same-day / intraday,1.213
TRMB,49.16,27.4,14.4,0.128,-3.38,-7.68,-17.7,1.97,4.01,2.79,-2.09,-1.68,346,100,4482,2494,0.29,0.56,70.0,45.0,0.9434,60.0,69.4,55.0,72.0,23.0,68.46,32.2,36.8,41.4,-1.37,-1.47,-1.83,87,deeply oversold (RSI <30); hammer/rejection candle; bullish engulfing candle; MACD histogram curling up; bullish call-heavy options (PCR vol 0.29); positive gamma bias (0.9434); put wall support near $45; call wall target at $70; historical 3d win rate 34.6% (avg +-1.82% over 52 samples); near 52-week low support,Same-day / intraday,1.213
NFLX,77.38,28.0,12.2,0.103,-3.18,-6.19,-13.28,2.22,2.87,2.33,-5.25,-4.79,74650,31939,119593,47849,0.43,0.4,80.0,77.0,0.4011,80.0,77.8,35.0,100.0,20.8,68.27,32.8,34.4,35.2,-0.87,-0.85,-0.31,122,deeply oversold (RSI <30); bullish engulfing candle; capitulation volume spike; bullish call-heavy options (PCR vol 0.43); positive gamma bias (0.4011); put wall support near $77; call wall target at $80; historical 3d win rate 31.2% (avg +-1.11% over 96 samples); near 52-week low support,Same-day / intraday,1.155
CVX,173.63,33.2,0.0,-0.117,-4.31,-5.75,-6.67,4.56,2.63,2.08,-3.75,-6.56,11149,3037,19834,6357,0.27,0.32,182.5,170.0,0.3831,180.0,100.0,30.0,96.0,29.8,67.16,40.0,47.5,53.8,-0.72,-0.49,-0.15,80,oversold (RSI <40); capitulation volume spike; bullish call-heavy options (PCR vol 0.27); positive gamma bias (0.3831); put wall support near $170; call wall target at $182; historical 3d win rate 48.5% (avg +0.29% over 33 samples),Same-day / intraday,1.05
XOM,137.81,33.3,4.9,-0.037,-4.15,-6.21,-7.96,4.18,3.04,2.67,-2.21,-6.0,12925,8712,27849,16138,0.67,0.58,152.5,135.0,0.4411,144.0,95.1,40.0,70.0,32.0,65.8,30.9,52.9,54.4,-0.64,-0.14,0.23,68,oversold (RSI <40); hammer/rejection candle; capitulation volume spike; bullish call-heavy options (PCR vol 0.67); positive gamma bias (0.4411); put wall support near $135; call wall target at $152; historical 3d win rate 57.4% (avg +-0.1% over 47 samples),Same-day / intraday,1.103
FOX,46.95,26.0,0.7,-0.017,-10.78,-15.22,-17.89,2.42,5.15,4.64,-6.02,-23.48,1114,125,3083,519,0.11,0.17,55.0,45.0,0.0226,45.0,100.0,35.0,61.0,30.8,65.73,30.8,51.3,51.3,-1.19,-1.4,-0.99,39,deeply oversold (RSI <30); bullish engulfing candle; capitulation volume spike; bullish call-heavy options (PCR vol 0.11); put wall support near $45; call wall target at $55; historical 3d win rate 46.4% (avg +-1.71% over 28 samples); near 52-week low support,Same-day / intraday,1.155
ADBE,195.16,27.8,2.2,0.066,-8.71,-14.43,-19.24,10.61,5.44,1.97,-5.43,-10.8,13464,9756,21357,19555,0.72,0.92,250.0,170.0,0.1315,210.0,92.5,55.0,38.0,23.3,65.22,35.1,38.5,39.7,-0.86,-1.13,-1.08,174,deeply oversold (RSI <30); bullish engulfing candle; MACD histogram curling up; capitulation volume spike; put wall support near $170; call wall target at $250; historical 3d win rate 38.5% (avg +-1.09% over 78 samples); near 52-week low support,Same-day / intraday,1.213
FOXA,52.23,27.2,2.6,0.01,-10.45,-15.15,-18.02,2.77,5.31,3.47,-4.62,-23.53,5786,334,15228,5333,0.06,0.35,55.0,50.0,-0.1075,50.0,98.0,35.0,61.0,27.7,64.44,25.8,48.4,41.9,-1.38,-1.57,-1.93,31,deeply oversold (RSI <30); bullish engulfing candle; capitulation volume spike; bullish call-heavy options (PCR vol 0.06); put wall support near $50; call wall target at $55; historical 3d win rate 45.5% (avg +-1.91% over 22 samples); near 52-week low support,Same-day / intraday,1.155
COP,107.74,34.1,0.0,-0.105,-4.82,-6.77,-9.22,3.59,3.34,2.94,-4.03,-6.61,3019,1070,9429,5028,0.35,0.53,125.0,105.0,0.4137,113.0,100.0,20.0,80.0,28.3,62.47,29.3,44.0,53.3,-1.17,-0.41,0.34,75,oversold (RSI <40); capitulation volume spike; bullish call-heavy options (PCR vol 0.35); positive gamma bias (0.4137); put wall support near $105; call wall target at $125; historical 3d win rate 60.4% (avg +0.54% over 48 samples),Same-day / intraday,1.103
